Total Objects,CPU Usage
19,20.002942986328488
20,20.662539375810677
21,21.218424815314957
22,9.029530540131246
23,10.629919419672069
24,18.29757098202657
25,17.299537781350484
26,14.375574666017632
27,14.42234436221158
28,11.635514539516947
29,21.80959286595528
30,21.878565786008952
31,13.836554905938033
32,20.705149451609014
33,20.280998241524557
34,17.6584650332236
35,13.415184655219406
36,22.682429106229034
37,14.213569568326879
38,13.214014598540146
39,11.241414195197272
40,7.661336495992148
41,16.363972457137578
42,18.99408980522377
43,19.81314545011996
44,14.541501847069208
45,8.136871931006974
46,19.60511733711819
47,21.33795427208262
