Total Objects,CPU Usage
4,18.51207531723291
5,24.018234953879876
6,24.952262152117292
7,18.84529989050651
8,12.93490590059955
9,21.471732625635713
10,21.461786815728605
11,20.718766111015636
12,21.660329191659525
13,12.241056489522748
14,19.201086956521742
15,21.973175943619143
16,13.683440029483625
17,22.22490444578556
18,20.873638432775156
